iter	Passed	Remaining
0	65	65882
1	66	33120
2	66	22170
3	67	16694
4	67	13413
5	68	11268
6	68	9727
7	69	8561
8	69	7668
9	70	6969
10	70	6380
11	71	5870
12	71	5436
13	71	5069
14	72	4753
15	72	4471
16	73	4222
17	73	4017
18	74	3830
19	74	3654
20	74	3492
21	75	3347
22	75	3213
23	76	3090
24	76	2976
25	76	2871
26	77	2775
27	77	2684
28	77	2601
29	78	2522
30	78	2448
31	78	2379
32	78	2314
33	79	2253
34	79	2197
35	80	2143
36	80	2091
37	80	2041
38	81	1996
39	81	1952
40	81	1912
41	82	1876
42	82	1838
43	83	1804
44	83	1775
45	84	1747
46	84	1718
47	85	1690
48	85	1666
49	86	1641
50	86	1615
51	87	1588
52	87	1563
53	87	1539
54	88	1515
55	88	1492
56	88	1469
57	89	1449
58	89	1431
59	90	1413
60	90	1394
61	90	1375
62	91	1357
63	91	1339
64	91	1321
65	92	1304
66	92	1288
67	92	1272
68	93	1256
69	93	1241
70	93	1226
71	94	1211
72	94	1197
73	94	1184
74	94	1171
75	95	1158
76	95	1147
77	96	1135
78	96	1123
79	96	1112
80	97	1102
81	97	1092
82	97	1079
83	98	1069
84	98	1062
85	99	1056
86	99	1046
87	100	1036
88	100	1027
89	100	1018
90	100	1008
91	101	1000
92	101	993
93	102	986
94	102	978
95	103	970
96	103	962
97	103	954
98	104	947
99	104	942
100	105	936
101	105	930
102	106	923
103	106	916
104	106	909
105	107	902
106	107	896
107	107	889
108	108	883
109	108	876
110	108	870
111	109	865
112	109	860
113	110	854
114	110	849
115	110	843
116	111	838
117	111	833
118	111	827
119	112	821
120	112	816
121	112	810
122	112	805
123	113	800
124	113	797
125	114	793
126	114	788
127	115	783
128	115	779
129	115	774
130	116	769
131	116	765
132	116	760
133	116	755
134	117	751
135	117	746
136	117	742
137	118	737
138	118	733
139	118	729
140	118	724
141	119	719
142	119	715
143	119	711
144	120	707
145	120	703
146	120	699
147	120	695
148	121	691
149	121	687
150	121	684
151	121	680
152	122	676
153	122	673
154	122	670
155	123	667
156	123	664
157	124	661
158	124	657
159	125	656
160	125	652
161	125	649
162	125	646
163	126	643
164	126	640
165	126	637
166	127	634
167	127	631
168	127	628
169	128	626
170	128	624
171	129	622
172	129	620
173	130	618
174	130	616
175	131	613
176	131	611
177	131	609
178	132	607
179	132	604
180	133	602
181	133	599
182	133	597
183	134	594
184	134	592
185	134	590
186	135	588
187	135	585
188	135	583
189	136	581
190	136	578
191	136	576
192	137	574
193	137	571
194	137	569
195	138	566
196	138	564
197	138	561
198	138	559
199	139	557
200	139	556
201	140	554
202	140	552
203	140	550
204	141	547
205	141	545
206	141	543
207	142	541
208	142	539
209	142	537
210	143	535
211	143	533
212	143	531
213	144	528
214	144	526
215	144	524
216	144	522
217	145	520
218	145	518
219	145	516
220	146	515
221	146	513
222	146	511
223	147	509
224	147	507
225	147	505
226	147	503
227	148	501
228	148	499
229	148	497
230	149	496
231	149	494
232	149	492
233	149	490
234	150	488
235	150	487
236	150	485
237	151	483
238	151	481
239	151	479
240	151	478
241	152	476
242	152	475
243	152	473
244	153	471
245	153	469
246	153	468
247	153	466
248	154	465
249	154	463
250	155	462
251	155	461
252	155	459
253	155	457
254	156	456
255	156	454
256	156	453
257	157	451
258	157	449
259	157	448
260	158	447
261	158	446
262	158	445
263	159	443
264	159	442
265	159	440
266	160	439
267	160	438
268	160	437
269	161	435
270	161	434
271	161	432
272	161	431
273	162	430
274	162	428
275	162	427
276	163	425
277	163	424
278	163	423
279	163	421
280	164	420
281	164	418
282	164	417
283	165	416
284	165	414
285	165	413
286	166	412
287	166	411
288	166	410
289	166	408
290	167	407
291	167	407
292	168	406
293	168	405
294	169	404
295	169	402
296	169	401
297	170	400
298	170	399
299	170	398
300	171	397
301	171	395
302	171	394
303	171	393
304	172	392
305	172	391
306	173	390
307	173	389
308	173	388
309	173	386
310	174	385
311	174	384
312	174	383
313	175	382
314	175	381
315	176	381
316	177	381
317	177	380
318	177	379
319	178	378
320	178	377
321	178	376
322	179	375
323	179	374
324	179	373
325	180	373
326	180	372
327	181	371
328	181	370
329	182	369
330	182	369
331	183	368
332	183	367
333	183	366
334	184	365
335	184	364
336	184	363
337	185	362
338	185	362
339	186	361
340	186	360
341	187	359
342	187	359
343	187	358
344	188	357
345	188	356
346	188	355
347	189	354
348	189	353
349	189	352
350	190	351
351	190	350
352	190	349
353	191	348
354	191	347
355	191	346
356	191	345
357	192	344
358	192	343
359	192	342
360	193	342
361	193	341
362	194	340
363	194	340
364	195	339
365	195	338
366	195	337
367	196	337
368	196	336
369	197	335
370	197	335
371	197	334
372	198	333
373	198	332
374	198	331
375	199	330
376	199	330
377	200	329
378	200	328
379	201	328
380	201	327
381	201	326
382	202	325
383	202	325
384	203	324
385	203	324
386	204	323
387	204	322
388	204	321
389	204	320
390	205	319
391	205	319
392	206	318
393	206	317
394	206	316
395	207	316
396	207	315
397	208	314
398	208	314
399	209	313
400	209	312
401	209	311
402	209	311
403	210	310
404	210	309
405	210	308
406	211	307
407	211	306
408	211	305
409	211	304
410	212	304
411	212	303
412	213	302
413	213	302
414	213	301
415	214	300
416	214	300
417	215	299
418	215	299
419	216	298
420	216	297
421	216	296
422	217	296
423	217	295
424	217	294
425	218	293
426	218	293
427	218	292
428	219	291
429	219	290
430	219	290
431	220	289
432	220	288
433	220	287
434	220	286
435	221	286
436	221	285
437	221	284
438	222	283
439	222	282
440	222	282
441	223	281
442	223	280
443	223	280
444	224	279
445	224	278
446	224	277
447	225	277
448	225	276
449	226	276
450	226	275
451	226	274
452	227	274
453	227	273
454	228	273
455	228	272
456	228	271
457	229	271
458	229	270
459	230	270
460	230	269
461	230	268
462	231	268
463	231	267
464	231	266
465	232	266
466	232	265
467	232	264
468	233	263
469	233	263
470	233	262
471	234	262
472	234	261
473	235	261
474	235	260
475	236	260
476	236	259
477	237	258
478	237	258
479	238	257
480	238	257
481	239	256
482	239	256
483	239	255
484	240	254
485	240	254
486	240	253
487	241	253
488	241	252
489	241	251
490	242	251
491	242	250
492	242	249
493	243	249
494	243	248
495	243	247
496	244	247
497	244	246
498	245	246
499	245	245
500	246	245
501	246	244
502	247	244
503	247	243
504	247	242
505	247	242
506	248	241
507	248	240
508	248	240
509	249	239
510	249	238
511	249	238
512	250	237
513	250	236
514	250	236
515	251	235
516	251	234
517	251	234
518	251	233
519	252	232
520	252	232
521	252	231
522	252	230
523	253	230
524	253	229
525	253	228
526	253	227
527	254	227
528	254	226
529	254	226
530	255	225
531	255	224
532	255	224
533	256	223
534	256	222
535	256	222
536	256	221
537	257	220
538	257	220
539	257	219
540	258	218
541	258	218
542	258	217
543	259	217
544	259	216
545	260	216
546	260	215
547	261	215
548	261	214
549	261	214
550	262	213
551	262	212
552	262	212
553	262	211
554	263	210
555	263	210
556	263	209
557	264	209
558	264	208
559	264	207
560	264	207
561	265	206
562	265	206
563	265	205
564	266	204
565	266	204
566	266	203
567	267	203
568	267	202
569	267	201
570	268	201
571	268	200
572	268	200
573	268	199
574	269	199
575	269	198
576	270	197
577	270	197
578	270	196
579	270	196
580	271	195
581	271	195
582	272	194
583	272	194
584	272	193
585	273	192
586	273	192
587	273	191
588	274	191
589	274	190
590	275	190
591	275	190
592	276	189
593	276	188
594	276	188
595	277	187
596	277	187
597	277	186
598	277	186
599	278	185
600	278	184
601	279	184
602	279	183
603	279	183
604	279	182
605	280	182
606	280	181
607	281	181
608	281	180
609	282	180
610	282	179
611	282	179
612	283	178
613	283	178
614	284	177
615	284	177
616	284	176
617	285	176
618	285	175
619	286	175
620	286	174
621	287	174
622	287	174
623	287	173
624	288	173
625	288	172
626	289	171
627	289	171
628	289	170
629	290	170
630	290	169
631	290	169
632	291	168
633	291	168
634	292	167
635	292	167
636	293	167
637	293	166
638	293	166
639	294	165
640	294	164
641	294	164
642	295	164
643	295	163
644	296	163
645	296	162
646	296	161
647	297	161
648	297	161
649	298	160
650	298	160
651	299	159
652	299	159
653	299	158
654	300	158
655	300	157
656	300	157
657	301	156
658	301	156
659	302	155
660	302	155
661	303	154
662	303	154
663	303	153
664	304	153
665	304	152
666	304	152
667	305	151
668	305	151
669	305	150
670	306	150
671	306	149
672	306	149
673	307	148
674	307	148
675	307	147
676	308	147
677	308	146
678	308	145
679	309	145
680	309	145
681	310	144
682	310	144
683	311	143
684	311	143
685	311	142
686	312	142
687	312	141
688	312	141
689	313	140
690	313	140
691	314	139
692	314	139
693	314	138
694	315	138
695	315	137
696	315	137
697	316	136
698	316	136
699	316	135
700	316	135
701	317	134
702	317	134
703	317	133
704	318	133
705	318	132
706	318	132
707	319	131
708	319	131
709	320	130
710	320	130
711	321	129
712	321	129
713	321	128
714	321	128
715	322	127
716	322	127
717	322	126
718	323	126
719	323	125
720	323	125
721	324	124
722	324	124
723	324	123
724	325	123
725	325	123
726	326	122
727	326	122
728	327	121
729	327	121
730	328	120
731	328	120
732	328	119
733	329	119
734	329	118
735	329	118
736	329	117
737	330	117
738	330	116
739	331	116
740	331	115
741	331	115
742	332	114
743	332	114
744	332	113
745	333	113
746	333	112
747	334	112
748	334	112
749	334	111
750	335	111
751	335	110
752	335	110
753	336	109
754	336	109
755	337	108
756	337	108
757	337	107
758	338	107
759	338	106
760	338	106
761	339	105
762	339	105
763	339	104
764	340	104
765	340	104
766	340	103
767	341	103
768	341	102
769	341	102
770	342	101
771	342	101
772	343	100
773	343	100
774	343	99
775	344	99
776	344	98
777	344	98
778	345	97
779	345	97
780	345	96
781	346	96
782	346	95
783	346	95
784	346	95
785	347	94
786	347	94
787	347	93
788	348	93
789	348	92
790	349	92
791	349	91
792	350	91
793	350	90
794	350	90
795	351	90
796	351	89
797	351	89
798	352	88
799	352	88
800	352	87
801	353	87
802	353	86
803	353	86
804	353	85
805	354	85
806	354	84
807	355	84
808	355	83
809	356	83
810	356	83
811	356	82
812	356	82
813	357	81
814	357	81
815	357	80
816	358	80
817	358	79
818	358	79
819	358	78
820	359	78
821	359	77
822	359	77
823	360	76
824	360	76
825	360	76
826	361	75
827	361	75
828	361	74
829	361	74
830	362	73
831	362	73
832	363	72
833	363	72
834	363	71
835	363	71
836	364	70
837	364	70
838	364	70
839	365	69
840	365	69
841	366	68
842	366	68
843	367	67
844	367	67
845	368	67
846	368	66
847	369	66
848	369	65
849	370	65
850	370	64
851	370	64
852	371	63
853	371	63
854	371	63
855	372	62
856	372	62
857	372	61
858	373	61
859	373	60
860	374	60
861	374	59
862	374	59
863	375	59
864	375	58
865	376	58
866	376	57
867	376	57
868	377	56
869	377	56
870	377	55
871	378	55
872	378	55
873	378	54
874	379	54
875	380	53
876	380	53
877	380	52
878	381	52
879	381	52
880	382	51
881	382	51
882	382	50
883	382	50
884	383	49
885	383	49
886	383	48
887	384	48
888	384	48
889	385	47
890	385	47
891	386	46
892	386	46
893	386	45
894	387	45
895	387	44
896	387	44
897	388	44
898	388	43
899	388	43
900	389	42
901	389	42
902	389	41
903	390	41
904	390	40
905	390	40
906	391	40
907	391	39
908	391	39
909	391	38
910	392	38
911	392	37
912	393	37
913	393	37
914	394	36
915	394	36
916	394	35
917	395	35
918	395	34
919	395	34
920	396	33
921	396	33
922	396	33
923	397	32
924	397	32
925	398	31
926	398	31
927	398	30
928	399	30
929	399	30
930	399	29
931	399	29
932	400	28
933	400	28
934	400	27
935	401	27
936	401	26
937	401	26
938	401	26
939	402	25
940	402	25
941	402	24
942	402	24
943	403	23
944	403	23
945	403	23
946	404	22
947	404	22
948	404	21
949	404	21
950	405	20
951	405	20
952	405	20
953	406	19
954	406	19
955	406	18
956	406	18
957	407	17
958	407	17
959	408	17
960	408	16
961	409	16
962	409	15
963	409	15
964	410	14
965	410	14
966	410	14
967	411	13
968	411	13
969	411	12
970	412	12
971	412	11
972	412	11
973	412	11
974	413	10
975	413	10
976	413	9
977	414	9
978	414	8
979	414	8
980	415	8
981	415	7
982	415	7
983	416	6
984	416	6
985	416	5
986	416	5
987	417	5
988	417	4
989	417	4
990	418	3
991	418	3
992	418	2
993	418	2
994	419	2
995	419	1
996	419	1
997	420	0
998	420	0
999	420	0
